,inducingPoints,logLikelihood,timeDeLorean,GPLVM_fitting_time
0,6,-23665.6221016228,46.5096898078918,4.95168527364731
1,8,-23471.420591368,50.215861082077,6.72014752626419
2,10,-23309.3681171344,56.1428241729736,8.98545812964439
3,12,-23209.8310485406,57.363734960556,10.9277567863464
4,14,-23147.002351415,62.9282059669494,13.8003740012646
5,16,-23122.4724378069,68.6728818416598,16.1216725170612
6,18,-23133.8215931923,76.3034875392912,21.080849134922
7,20,-23119.6398252534,83.8456733226774,24.4696843326092
8,22,-23104.0909036359,89.3754689693448,27.6666734099388
9,24,-23091.7687677441,94.7331376075746,32.4998697817326
10,26,-23120.6227112118,114.044508695602,34.6074171483517
11,28,-23113.0783353421,118.698991298675,39.1016300201416
12,30,-23107.459721943,132.313729524613,44.4776414752007
13,32,-23102.9816745785,138.944932699204,50.743396115303
