"","GSM734540","GSM734541","GSM734542","GSM734543","GSM734544","GSM734545","GSM734546","GSM734547","GSM734548","GSM734549","GSM734550","GSM734551","GSM734552","GSM734553","GSM734554","GSM734555","GSM734556","GSM734557","GSM734558","GSM734559","GSM734560","GSM734561","GSM734562","GSM734563"
"CATMA1a62725",7.366727735,7.884903845,7.686589245,7.589885941,7.566144737,7.480252178,7.722113795,7.564886084,7.725009615,7.547807615,7.973960348,8.001969344,8.500328832,8.622519937,8.489837725,9.130994754,8.743030324,8.641235697,9.305754467,9.375290365,9.530911219,9.208073286,9.734324885,9.197335169
"CATMA1a17310",9.458354939,8.907147811,8.665228053,8.677098065,8.660040907,8.537994164,8.821892604,9.111762771,8.91484419,8.995170193,9.639542295,9.960975465,10.95762012,11.15667212,10.88061895,10.34709727,10.9293313,10.69153994,10.99719989,11.2036819,10.84462345,10.85775666,11.04973437,10.71545632
"CATMA1a05220",7.502496154,7.600797117,8.006628179,8.312832642,7.971205197,7.924247,8.07233649,8.143383016,8.287564727,8.523113296,8.948410693,9.015378819,9.992354903,10.40767351,10.47595809,10.27849291,10.22192374,9.804745233,10.1813603,9.627718844,9.342102481,9.792316038,9.469273851,9.253248476
"CATMA1a02710",9.362606881,9.646484932,8.855507659,8.812352032,8.742347925,9.077515471,9.166194662,9.859782224,9.956077417,9.171174919,10.66472372,11.39778425,11.97526585,12.40335985,11.99235741,12.45413799,12.54174739,11.72692974,12.51735157,12.25779929,11.77619586,11.9633624,12.24837949,12.46134286
"CATMA4a05150",10.38415704,10.73090919,10.67446489,10.80700821,10.37680518,10.50535477,10.76260761,11.26763328,10.98748384,10.94954864,11.68704864,11.58024425,12.2125626,12.75833643,12.7495553,13.11300845,12.84145971,12.25326225,13.17120938,12.78545935,12.34250948,12.71224645,12.1262091,12.17801747
"CATMA5a57060",10.43701895,11.17243272,11.38192606,11.62291007,11.40290503,11.45213216,11.61068684,11.66537653,11.11222809,11.47987065,10.25133632,9.979260708,7.272303978,8.04407438,7.928600622,7.927880465,8.442691636,8.709360371,7.734842757,8.605823608,8.132735916,9.094542091,8.775496366,9.680077161
"CATMA2c47176",12.07334812,11.92246886,11.87225107,12.21127767,12.96895881,10.7687904,11.45833978,11.96377497,10.70168169,11.7361617,11.87550401,12.35799142,13.0988024,14.00819568,14.19092098,14.39250658,14.39819734,14.22638408,14.45939518,14.12797702,14.17411634,14.70729714,14.38948292,14.44453404
"CATMA3a19345",14.42818858,14.81765826,14.52687355,14.71640128,14.83096182,14.20389504,14.45823524,15.03135418,15.14639977,14.96552264,14.39340427,14.87780271,12.66414461,12.11267552,11.68770462,11.65924905,11.9303147,12.72513126,12.79954797,12.71073761,12.98377907,13.63040534,13.43822004,14.65879989
"CATMA4a13955",12.48597086,13.08186323,13.70582882,13.35731773,13.77337272,12.90803003,13.84441969,12.45074081,13.73731365,13.78158005,13.10130744,12.67317315,10.75485658,10.56298581,10.25199698,10.70789236,10.38276313,11.34320188,11.26055586,11.28000285,11.55122172,11.51348706,11.68967,12.48872307
"CATMA3a18300",11.5195702,11.68983622,11.59432299,11.49018047,11.61402979,11.56577077,11.47222432,11.34590581,11.61422126,11.44947412,12.08300676,12.17492125,12.78815212,12.98339585,12.50461457,12.81424474,12.50613503,12.27511064,12.75961764,12.50775482,12.67866114,12.35897747,12.64016356,12.72654135
"CATMA4a11410",8.964419997,9.218454261,8.612644848,8.600445219,8.817018514,8.869273429,9.124348237,9.136553956,9.67079531,10.09499172,11.23163806,10.69167203,11.91914824,11.74953647,11.55349453,11.38315833,11.26630547,10.89051654,11.58551826,10.95648453,11.28203412,10.73663396,11.59533344,11.24889686
"CATMA3a05630",6.983703157,7.900774755,7.880902692,7.772839484,7.360147683,7.650334818,7.312511361,7.790984701,7.448706031,7.797484443,8.380479068,8.222294946,9.391096057,9.103962999,9.330830102,8.751312146,9.607822068,9.436033633,8.554344559,8.797385304,9.044934996,8.620223094,9.277565889,8.9434818
"CATMA5a23070",13.63748719,13.54267748,13.36414574,12.95372826,12.81267045,13.45945243,13.75163036,13.12399648,14.51417463,13.77988013,14.86005553,14.90636002,15.44505671,15.46954801,15.32136819,15.51452865,15.21857754,15.13031029,15.32564005,15.28999369,15.22433799,14.80250777,15.0334014,14.97401387
"CATMA5c65122",8.894572441,9.231023765,8.963794492,8.998188198,8.856959187,9.100277388,9.073917248,8.771286556,9.161687983,9.504031858,9.677505952,9.841072379,9.389593933,9.752503074,9.409481973,10.49377985,10.34102683,10.29300403,10.25029189,10.86164379,11.01198769,10.92298956,11.13632914,11.40667866
"CATMA5a60330",7.711297385,8.414076032,8.352631305,8.517638435,7.802509531,8.623015307,8.657561423,8.729898234,8.65219747,8.600754287,9.990892396,9.643517217,11.23252394,11.25204109,10.83695755,10.47308247,9.754150435,9.523479489,10.81030713,9.811474177,10.36446387,10.2784285,10.99392917,10.50241184
"CATMA5a50880",9.976133208,10.27765019,10.20942714,10.33612289,10.04957508,9.996444377,10.17321712,10.68365458,10.53447099,10.49577135,11.34521262,11.20299361,12.23254795,12.48078323,12.16026872,11.59966222,11.73052928,10.94628431,11.23067781,11.36407921,11.06999015,11.18393437,11.10820996,11.17337226
"CATMA4a18523",8.779382385,8.7897927,8.362520273,8.104754481,7.960524052,8.380233892,8.365048133,8.172849101,8.622176961,8.301848591,9.516329574,9.210481882,10.33794726,10.0694429,9.990831071,9.849755298,9.536656671,9.521465646,10.73082369,10.10498965,10.30074389,9.255652277,10.50047207,9.992710625
"CATMA4a34150",10.2769003,9.318537586,9.699840201,9.359434723,9.905471991,9.312207822,9.089693641,8.52874267,8.790086772,8.957604346,8.409958738,8.58939339,7.953631858,8.384178098,7.558874785,8.369726818,8.069275748,8.760704447,8.213835452,8.377662914,8.651978103,8.47940271,7.926442618,8.089842387
"CATMA3c57822",12.23660776,11.54571614,11.67565076,11.62286834,11.43076042,11.47652542,11.24723657,12.01534075,11.98664012,12.00786843,11.64356803,11.44201787,11.81412837,11.37122176,11.70620514,10.57787917,10.56602612,10.60488704,10.04659605,10.03306372,10.19536672,10.36515421,10.2091658,10.10974418
"CATMA1c72152",6.938069739,6.791230542,7.297688072,7.093537118,7.170351463,5.94475596,6.118251842,7.705645156,7.80569184,7.953196293,8.873129941,8.81417844,9.714923878,9.779891176,9.709179823,9.224703429,9.467931967,9.128407668,8.83130936,8.721919664,8.389655329,8.603738325,8.834370897,8.496905104
